NAME                 READY   AGE
pr472-abtest-ipc-0   true    2026-09-21T17:18:49Z
pr472-abtest-ipc-1   true    2026-09-21T17:18:49Z
pr472-abtest-ipo-0   true    2026-09-21T17:18:49Z
pr472-abtest-ipo-1   true    2026-09-21T17:18:49Z
-- t=5s --
NAME                 READY   AGE
pr472-abtest-ipc-0   false   2026-09-21T17:18:49Z
pr472-abtest-ipc-1   true    2026-09-21T17:18:49Z
pr472-abtest-ipo-0   true    2026-09-21T17:21:17Z
pr472-abtest-ipo-1   true    2026-09-21T17:21:16Z
-- t=10s --
NAME                 READY   AGE
pr472-abtest-ipc-0   false   2026-09-21T17:18:49Z
pr472-abtest-ipc-1   true    2026-09-21T17:18:49Z
pr472-abtest-ipo-0   true    2026-09-21T17:21:17Z
pr472-abtest-ipo-1   true    2026-09-21T17:21:16Z
-- t=15s --
NAME                 READY   AGE
pr472-abtest-ipc-0   true    2026-09-21T17:18:49Z
pr472-abtest-ipc-1   false   2026-09-21T17:18:49Z
pr472-abtest-ipo-0   true    2026-09-21T17:21:17Z
pr472-abtest-ipo-1   true    2026-09-21T17:21:16Z
-- t=20s --
NAME                 READY   AGE
pr472-abtest-ipc-0   false   2026-09-21T17:18:49Z
pr472-abtest-ipc-1   false   2026-09-21T17:21:32Z
pr472-abtest-ipo-0   true    2026-09-21T17:21:17Z
pr472-abtest-ipo-1   true    2026-09-21T17:21:16Z
-- t=25s --
NAME                 READY   AGE
pr472-abtest-ipc-0   false   2026-09-21T17:18:49Z
pr472-abtest-ipc-1   false   2026-09-21T17:21:37Z
pr472-abtest-ipo-0   true    2026-09-21T17:21:17Z
pr472-abtest-ipo-1   true    2026-09-21T17:21:16Z
-- t=30s --
NAME                 READY   AGE
pr472-abtest-ipc-0   false   2026-09-21T17:21:43Z
pr472-abtest-ipc-1   false   2026-09-21T17:21:43Z
pr472-abtest-ipo-0   true    2026-09-21T17:21:17Z
pr472-abtest-ipo-1   true    2026-09-21T17:21:16Z
-- t=35s --
NAME                 READY   AGE
pr472-abtest-ipc-0   false   2026-09-21T17:21:49Z
pr472-abtest-ipc-1   false   2026-09-21T17:21:49Z
pr472-abtest-ipo-0   true    2026-09-21T17:21:17Z
pr472-abtest-ipo-1   true    2026-09-21T17:21:16Z
-- t=40s --
NAME                 READY   AGE
pr472-abtest-ipc-0   false   2026-09-21T17:21:52Z
pr472-abtest-ipc-1   false   2026-09-21T17:21:52Z
pr472-abtest-ipo-0   true    2026-09-21T17:21:17Z
pr472-abtest-ipo-1   true    2026-09-21T17:21:16Z
-- t=45s --
NAME                 READY   AGE
pr472-abtest-ipc-0   false   2026-09-21T17:21:58Z
pr472-abtest-ipc-1   false   2026-09-21T17:21:58Z
pr472-abtest-ipo-0   true    2026-09-21T17:21:17Z
pr472-abtest-ipo-1   true    2026-09-21T17:21:16Z
-- t=50s --
NAME                 READY   AGE
pr472-abtest-ipc-0   false   2026-09-21T17:22:03Z
pr472-abtest-ipc-1   false   2026-09-21T17:22:04Z
pr472-abtest-ipo-0   true    2026-09-21T17:21:17Z
pr472-abtest-ipo-1   true    2026-09-21T17:21:16Z
-- t=55s --
NAME                 READY   AGE
pr472-abtest-ipc-0   false   2026-09-21T17:22:09Z
pr472-abtest-ipc-1   false   2026-09-21T17:22:07Z
pr472-abtest-ipo-0   true    2026-09-21T17:21:17Z
pr472-abtest-ipo-1   true    2026-09-21T17:21:16Z
-- t=60s --
